surface	norm	freq	text_count	pct_texts	texts	category
იხილა	იხილა	66	25	46.3	ephr-markhva|inventio-stephani-lucian|mart-stepane|mrav-aghdgoma-kyrile|mrav-antipater-bostrensis-1|mrav-basili-2|mrav-bzoba-meletios|mrav-bzoba-severian|mrav-cross-vision|mrav-departed-ephrem|mrav-dormition-1|mrav-dormition-2|mrav-enkenia-2|mrav-epiphane-mary|mrav-feristsvaleba|mrav-forty-martyrs|mrav-holymonday|mrav-kharbeba-2|mrav-lazare|mrav-martyrs-chrysostom-3|mrav-natlisgeba-okropiri|mrav-peter-martyrdom|mrav-sinai-fathers-amonios|mrav-timote-1|proclus-hom-theotokos	FUNCTION
დღეს	დღეს	66	23	42.6	chrys-epiphany-homily|mrav-aghdgoma-meletios|mrav-amaghleba|mrav-bzoba-iohannes|mrav-bzoba-severian|mrav-chrysostom-jonah|mrav-dormition-1|mrav-dormition-2|mrav-enkenia-1|mrav-exaltation-cross|mrav-feristsvaleba|mrav-forty-martyrs|mrav-john-baptist-decollatio|mrav-john-baptist-decollatio-2|mrav-martyrs-chrysostom|mrav-martyrs-chrysostom-2|mrav-martyrs-chrysostom-3|mrav-natlisgeba-okropiri|mrav-shoba-athanasi|mrav-sinai-fathers-amonios|mrav-sulthmofenoba-2|mrav-toma-chrysostom|proclus-hom-theotokos	FUNCTION
ჩუენდა	ჩუენდა	60	25	46.3	inventio-stephani-lucian|mart-iaqob-up-dzma|mrav-aghdgoma-kyrile|mrav-aghdgoma-meletios|mrav-amaghleba|mrav-bzoba-severian|mrav-chrysostom-jonah|mrav-departed-ephrem|mrav-enkenia-2|mrav-epiphane-mary|mrav-exaltation-cross|mrav-feristsvaleba|mrav-forty-martyrs|mrav-kharbeba-1|mrav-kharbeba-2|mrav-kharbeba-3|mrav-martyrs-chrysostom-2|mrav-martyrs-chrysostom-3|mrav-natlisgeba-1|mrav-shoba-athanasi|mrav-sinai-fathers-amonios|mrav-sulthmofenoba-1|mrav-sulthmofenoba-2|mrav-toma-chrysostom|proclus-hom-theotokos	FUNCTION
მათსა	მათსა	59	22	40.7	cyril-epiphany-homily|inventio-stephani-lucian|mrav-aghdgoma-kyrile|mrav-aghdgoma-meletios|mrav-bzoba-iohannes|mrav-bzoba-severian|mrav-cross-vision|mrav-enkenia-1|mrav-epiphane-mary|mrav-feristsvaleba|mrav-forty-martyrs|mrav-john-baptist-decollatio|mrav-kharbeba-2|mrav-martyrs-chrysostom|mrav-martyrs-chrysostom-2|mrav-martyrs-chrysostom-3|mrav-natlisgeba-okropiri|mrav-paul-martyrdom|mrav-shoba-athanasi|mrav-sinai-fathers-amonios|mrav-sulthmofenoba-2|mrav-timote-1	FUNCTION
დღესა	დღესა	58	26	48.1	chrys-epiphany-homily|hesych-hypapante-01|mart-stepane|mrav-aghdgoma-kyrile|mrav-aghdgoma-meletios|mrav-amaghleba|mrav-bzoba-iohannes|mrav-bzoba-meletios|mrav-chrysostom-jonah|mrav-colophon-makari|mrav-cross-vision|mrav-enkenia-1|mrav-exaltation-cross|mrav-feristsvaleba|mrav-ioane-zosime|mrav-lazare|mrav-nails-inventio|mrav-natlisgeba-1|mrav-natlisgeba-okropiri|mrav-new-sunday|mrav-shoba-athanasi|mrav-sinai-fathers-amonios|mrav-sulthmofenoba-1|mrav-sulthmofenoba-2|mrav-timote-1|mrav-toma-chrysostom	FUNCTION
წმიდისა	წმიდისა	57	26	48.1	chrys-epiphany-homily|cyril-epiphany-homily|ephr-markhva|hesych-hypapante-01|mart-iaqob-up-dzma|mrav-aghdgoma-kyrile|mrav-basili-1|mrav-basili-2|mrav-bzoba-iohannes|mrav-bzoba-severian|mrav-colophon-makari|mrav-departed-ephrem|mrav-dormition-1|mrav-feristsvaleba|mrav-forty-martyrs|mrav-john-baptist-decollatio|mrav-john-baptist-decollatio-2|mrav-martyrs-chrysostom-2|mrav-martyrs-chrysostom-3|mrav-nails-inventio|mrav-paul-martyrdom|mrav-peter-martyrdom|mrav-sinai-fathers-amonios|mrav-sulthmofenoba-2|mrav-timote-1|mrav-toma-chrysostom	FUNCTION
მამისა	მამისა	57	20	37.0	chrys-epiphany-homily|cyril-epiphany-homily|mrav-aghdgoma-kyrile|mrav-amaghleba|mrav-bzoba-iohannes|mrav-bzoba-severian|mrav-colophon-makari|mrav-departed-ephrem|mrav-dormition-1|mrav-dormition-2|mrav-feristsvaleba|mrav-forty-martyrs|mrav-john-baptist-decollatio|mrav-kharbeba-1|mrav-nails-inventio|mrav-paul-martyrdom|mrav-peter-martyrdom|mrav-sulthmofenoba-2|mrav-timote-1|mrav-toma-chrysostom	FUNCTION
ვარ	ვარ	54	22	40.7	hesych-hypapante-01|inventio-stephani-lucian|mart-stepane|mrav-aghdgoma-kyrile|mrav-amaghleba|mrav-antipater-bostrensis-1|mrav-bzoba-iohannes|mrav-bzoba-severian|mrav-dormition-1|mrav-dormition-2|mrav-enkenia-1|mrav-enkenia-2|mrav-forty-martyrs|mrav-john-baptist-decollatio-2|mrav-lazare|mrav-natlisgeba-1|mrav-new-sunday|mrav-paul-martyrdom|mrav-peter-martyrdom|mrav-sinai-fathers-amonios|mrav-sulthmofenoba-2|mrav-toma-chrysostom	FUNCTION
უკუნისამდე	უკუნისამდე	52	35	64.8	ephr-markhva|mrav-aghdgoma-kyrile|mrav-aghdgoma-meletios|mrav-amaghleba|mrav-antipater-bostrensis-1|mrav-bzoba-iohannes|mrav-bzoba-meletios|mrav-bzoba-severian|mrav-cross-vision|mrav-dormition-1|mrav-dormition-2|mrav-enkenia-1|mrav-enkenia-2|mrav-epiphane-mary|mrav-exaltation-cross|mrav-feristsvaleba|mrav-forty-martyrs|mrav-holymonday|mrav-john-baptist-decollatio|mrav-kharbeba-1|mrav-martyrs-chrysostom|mrav-martyrs-chrysostom-2|mrav-martyrs-chrysostom-3|mrav-nails-inventio|mrav-natlisgeba-1|mrav-new-sunday|mrav-paul-martyrdom|mrav-peter-martyrdom|mrav-shoba-athanasi|mrav-sinai-fathers-amonios|mrav-sulthmofenoba-1|mrav-sulthmofenoba-2|mrav-timote-1|mrav-toma-chrysostom|proclus-hom-theotokos	FUNCTION
ესმა	ესმა	51	23	42.6	mart-stepane|mrav-aghdgoma-kyrile|mrav-antipater-bostrensis-1|mrav-bzoba-meletios|mrav-bzoba-severian|mrav-chrysostom-jonah|mrav-cross-vision|mrav-departed-ephrem|mrav-enkenia-2|mrav-epiphane-mary|mrav-exaltation-cross|mrav-forty-martyrs|mrav-john-baptist-decollatio|mrav-john-baptist-decollatio-2|mrav-kharbeba-2|mrav-lazare|mrav-natlisgeba-1|mrav-natlisgeba-okropiri|mrav-paul-martyrdom|mrav-sinai-fathers-amonios|mrav-sulthmofenoba-2|mrav-timote-1|proclus-hom-theotokos	FUNCTION
