surface	norm	freq	text_count	pct_texts	texts	category
ერთსა	ერთსა	21	10	18.5	cyril-epiphany-homily|ephr-markhva|mrav-aghdgoma-kyrile|mrav-bzoba-iohannes|mrav-bzoba-severian|mrav-forty-martyrs|mrav-john-baptist-decollatio|mrav-nails-inventio|mrav-natlisgeba-1|mrav-sinai-fathers-amonios	REVIEW
იქმნების	იქმნების	21	12	22.2	chrys-epiphany-homily|mrav-chrysostom-jonah|mrav-dormition-1|mrav-dormition-2|mrav-exaltation-cross|mrav-feristsvaleba|mrav-john-baptist-decollatio|mrav-kharbeba-3|mrav-natlisgeba-1|mrav-paul-martyrdom|mrav-toma-chrysostom|proclus-hom-theotokos	REVIEW
მათითა	მათითა	20	10	18.5	mrav-aghdgoma-kyrile|mrav-amaghleba|mrav-bzoba-meletios|mrav-enkenia-1|mrav-epiphane-mary|mrav-martyrs-chrysostom|mrav-martyrs-chrysostom-2|mrav-shoba-athanasi|mrav-sinai-fathers-amonios|mrav-toma-chrysostom	REVIEW
ვიხილე	ვიხილე	20	10	18.5	inventio-stephani-lucian|mart-stepane|mrav-aghdgoma-kyrile|mrav-dormition-1|mrav-enkenia-2|mrav-feristsvaleba|mrav-lazare|mrav-sinai-fathers-amonios|mrav-timote-1|mrav-toma-chrysostom	REVIEW
ყვეს	ყვეს	20	13	24.1	inventio-stephani-lucian|mart-iaqob-up-dzma|mart-stepane|mrav-aghdgoma-meletios|mrav-basili-1|mrav-bzoba-meletios|mrav-colophon-makari|mrav-cross-vision|mrav-epiphane-mary|mrav-forty-martyrs|mrav-martyrs-chrysostom|mrav-natlisgeba-1|mrav-sinai-fathers-amonios	REVIEW
ქალწულისაგან	ქალწულისაგან	20	8	14.8	cyril-epiphany-homily|mrav-amaghleba|mrav-dormition-1|mrav-kharbeba-1|mrav-kharbeba-2|mrav-shoba-athanasi|mrav-timote-1|proclus-hom-theotokos	REVIEW
ჴმითა	ხმითა	20	13	24.1	cyril-epiphany-homily|mrav-basili-2|mrav-bzoba-iohannes|mrav-bzoba-meletios|mrav-cross-vision|mrav-departed-ephrem|mrav-enkenia-2|mrav-exaltation-cross|mrav-feristsvaleba|mrav-forty-martyrs|mrav-john-baptist-decollatio|mrav-paul-martyrdom|mrav-sinai-fathers-amonios	REVIEW
იდვა	იდვა	19	12	22.2	mrav-aghdgoma-kyrile|mrav-antipater-bostrensis-1|mrav-bzoba-iohannes|mrav-cross-vision|mrav-epiphane-mary|mrav-forty-martyrs|mrav-kharbeba-2|mrav-kharbeba-3|mrav-natlisgeba-1|mrav-shoba-athanasi|mrav-sinai-fathers-amonios|mrav-toma-chrysostom	REVIEW
ვიხილეთ	ვიხილეთ	19	12	22.2	hesych-hypapante-01|mrav-aghdgoma-kyrile|mrav-aghdgoma-meletios|mrav-dormition-1|mrav-dormition-2|mrav-enkenia-2|mrav-kharbeba-3|mrav-new-sunday|mrav-paul-martyrdom|mrav-shoba-athanasi|mrav-sinai-fathers-amonios|mrav-toma-chrysostom	REVIEW
თქუეს	თქუეს	19	9	16.7	mart-iaqob-up-dzma|mart-stepane|mrav-aghdgoma-kyrile|mrav-cross-vision|mrav-departed-ephrem|mrav-enkenia-1|mrav-epiphane-mary|mrav-sinai-fathers-amonios|mrav-sulthmofenoba-2	REVIEW
მათა	მათა	19	11	20.4	ephr-markhva|mrav-aghdgoma-kyrile|mrav-aghdgoma-meletios|mrav-enkenia-2|mrav-exaltation-cross|mrav-forty-martyrs|mrav-kharbeba-1|mrav-martyrs-chrysostom|mrav-sinai-fathers-amonios|mrav-sulthmofenoba-2|mrav-toma-chrysostom	REVIEW
რომელნიმე	რომელნიმე	19	10	18.5	ephr-markhva|mart-iaqob-up-dzma|mart-stepane|mrav-aghdgoma-kyrile|mrav-bzoba-meletios|mrav-bzoba-severian|mrav-exaltation-cross|mrav-forty-martyrs|mrav-kharbeba-1|mrav-sinai-fathers-amonios	REVIEW
ჯუარისა	ჯუარისა	19	4	7.4	inventio-stephani-lucian|mrav-cross-vision|mrav-exaltation-cross|mrav-nails-inventio	REVIEW
შვა	შვა	19	6	11.1	mrav-dormition-2|mrav-epiphane-mary|mrav-kharbeba-1|mrav-kharbeba-2|mrav-lazare|mrav-shoba-athanasi	REVIEW
