xml_id	lemma	definition	source_siglum	source_id	cross_refs
lex.zurgit_kerdzo	ზურგით კერძო	უკუანა კერძო, უკუანაჲთ, უკანით	ი. ა.	abuladze1973	კერძო
lex.zurgit_motvirte	ზურგით მოტჳრთე	ტვირთის მზიდველი	ი. ა.	abuladze1973	მოტჳრთე|ტჳრთი
lex.zurgis_sheqtseva	ზურგის-შექცევა	შებრუნება	ი. ა.	abuladze1973	ქცეულად
lex.zurgis_dzuali	ზურგის-ძუალი	ხერხემალი	ი. ა.	abuladze1973	ძუალი
lex.zurmukhti	ზურმუხტი	(smaragdus)	ი. ა.	abuladze1973	
lex.zupad	ზუფად	ერთად (	ი. ა.	abuladze1973	
lex.zukhma	ზუხმა	ქსოვილის საზომი	ქ. ც.	kartlis_tskhovreba	
lex.zukhova	ზუხოვა	ოხვრა	ზ. ს.	sarjveladze1995	
lex.zukhoobai	ზუხოობაჲ	მხიარულება	ზ. ს.	sarjveladze1995	
lex.zghapar_sitquadi	ზღაპარ-სიტყუადი	მევეპე	ი. ა.	abuladze1973	
lex.zghaparkneli	ზღაპარკნელი	ზღაპარი, მოგონილი	სხ.	misc	
lex.zghaprad	ზღაპრად	ზღაპრის სახედ, ზღაპრულად, ზღაპარივით	ი. ა.	abuladze1973	ზღაპრობა|მეზღაპრე|მუცლით-მეზღაპრე
lex.zghaproba	ზღაპრობა	ზღაპარივით თქმა	ი. ა.	abuladze1973	ზღაპრად
lex.zghva	ზღვა	გადახდა, მიგება. საზღაური, ჯარიმა, გადასახდელი	ი. ა.	abuladze1973	გარდაზღვა|მიზღვა|მზღველი
lex.zghvari	ზღვარი	საზღვარი	ი. ა.	abuladze1973	განსაზღვრება|განსაზღურება|განმასაზღურებელი|ზღვრობა|მოზღუანე|მოზღვანე|მოძღუანე|მოზღვრე|საზღვარი
lex.zghveva	ზღვევა	ვნება, დაზიანება, დასჯა, დაჯარიმება	ი. ა.	abuladze1973	
lex.zghveuli	ზღვეული	დაჭირვებული, ჭირვეული, ვნებული	ი. ა.	abuladze1973	დაზღვევა|მოზღვევა
lex.zghvis_deba	ზღვის-დება	დაცემა	ი. ა.	abuladze1973	დება
lex.zghvroba	ზღვრობა	ზღუანვა, ახლოს ყოფნა	ი. ა.	abuladze1973	ზღვარი
lex.zghlarknili	ზღლარკნილი	მიმოკლაკნილი	ი. ა.	abuladze1973	
lex.zghua	ზღუა	ზღვა	ი. ა.	abuladze1973	
lex.zghuad_kerdzo_zghvit_kerdzo	ზღუად კერძო, ზღჳთ კერძო	ზღუად მიმართ	ი. ა.	abuladze1973	ზღჳს-კიდე|ზღჳს-პირი|მეზღჳსპირე|ზღჳსკიდელი
lex.zghuanva	ზღუანვა	ზღვრობა, ახლოს ყოფნა	ი. ა.	abuladze1973	
lex.zghude	ზღუდე	კედელი, ღობე, გარს შემოვლებული სიმაგრე	ი. ა.	abuladze1973	გარე-მოზღუდვა|გარემოჲს მოზღუდვა|ზღუდე-დარღუეული|ზღუდვილი|ზღუდის-ზღუდე|ზღუდოვანი|ზღუდოანი|მოზღუდვა
lex.zghude_darghueuli	ზღუდე-დარღუეული	კედელ დაშლილი			დარღუეული|ზღუდე|რღუევა
lex.zghudvili	ზღუდვილი	მოზღუდვილი			ზღუდე
lex.zghudis_zghude	ზღუდის-ზღუდე	გარე-ზღუდე; პატნეზი	ი. ა.	abuladze1973	ზღუდე
lex.zghudissabrdzoli_manqanai	ზღუდისსაბრძოლი მანქანაჲ	ციხის კედლების დასანგრევი მოწყობილობა	ზ. ს.	sarjveladze1995	
lex.zghudovani_zghudoani	ზღუდოვანი, ზღუდოანი	ზღუდიანი			ზღუდე
lex.zghueva	ზღუევა	(опасность) ძვირი ჭირი (ფს. 114,33)			
lex.zghurbli	ზღურბლი	(парог) კარის ქვეშ გადასასვლელზე დადებული დირე; კარის გადასასვლელი	ი. ი.	imnaishvili	
lex.zghvis_kide	ზღჳს-კიდე	ზღვის-პირი	ი. ა.	abuladze1973	კიდე|კიდეჲ
lex.zghvis_kidisa	ზღჳს-კიდისა				
lex.zghvis_piri	ზღჳს-პირი	ზღვის კიდე, ზღვის ნაპირი	ი. ა.	abuladze1973	ზღუად კერძო|ზღჳთ კერძო|მეზღჳსპირე|პირით კერძო
