xml_id	lemma	definition	source_siglum	source_id	cross_refs
lex.mgrdznobeli	მგრძნობელი	მგრძნობიარე	ი. ა.	abuladze1973	გრძნობა
lex.mguardl	მგუარდლ	გვერდით	ი. ა.	abuladze1973	გუერდით|გუერდი
lex.mguemeli	მგუემელი	მტარვალი	ი. ა.	abuladze1973	გუემა|გუემა ჴურთითა/ჴჳრთითა
lex.mguve	მგუვე		ი. ა.	abuladze1973	შემგუვე
lex.mgulebeli	მგულებელი	ზედამდგომელი, თავმდგომი, მოურავი	ი. ა.	abuladze1973	გულება|გულვება
lex.mgurgvinvale	მგურგჳნვალე	მქუხარე	სხ.	misc	
lex.mguremeli	მგურემელი	გამანადგურებელი, მომწყლველი	სხ.	misc	
lex.mgurinavi	მგურინავი	მგოდებელი, მოტირალი	ი. ა.	abuladze1973	გურინვა
lex.mdabali	მდაბალი	დამდაბლებული, დაგლახაკებული, დავრდომილი, შეჭირვებული, მცირე, მშვიდი, არა ამაყი	ი. ა.	abuladze1973	დამდაბლება|დამდაბლებული|მდაბლება|მდაბლად|სიდაბნე|სიმდაბლე|უმდაბლესი
lex.mdabio_mdabioni	მდაბიო, მდაბიონი	გლეხი, ერისკაცი	ი. ა.	abuladze1973	დაბა
lex.mdabiori	მდაბიორი	დაბელი; სოფლელი; სოფლური	ზ. ს.	sarjveladze1995	სამდაბიო
lex.mdablad	მდაბლად	არა ამაყად	ი. ა.	abuladze1973	მდაბალი
lex.mdableba	მდაბლება		ი. ა.	abuladze1973	მდაბალი
lex.mdabr	მდაბრ	დაბაში	ზ. ს.	sarjveladze1995	
lex.mdaburi_mdabiuri	მდაბური, მდაბიური	სოფლელი, გლეხი	ი. ა.	abuladze1973	დაბა
lex.mdgami	მდგამი	მკვრივი	ზ. ს.	sarjveladze1995	
lex.mdgmo	მდგმო	თანაზომიერი, კეთილად შედგმული	ი. ა.	abuladze1973	დგომა
lex.mdgomare	მდგომარე	მდგომი, დამდგარი, აღმართული	ი. ა.	abuladze1973	დგომა|თანა-მდგომარე|წინაშე-მდგომარე
lex.mdgomeli	მდგომელი		ი. ა.	abuladze1973	დგომა|მდგომელობა|წინაშე-მდგომელი
lex.mdgomeloba	მდგომელობა		ი. ა.	abuladze1973	დგომა|მდგომელი|ზედამდგომელობა|შუამდგომელობა|შუვამდგომელობა
lex.mdgomi	მდგომი	მდგომარე, ვინც დგას	ი. ა.	abuladze1973	დგომა|ზედა-მდგომელი|ზედა-მდგომი|თანა-მდგომი|წინა-მდგომი
lex.mdgomobit	მდგომობით	მტკიცედ	ზ. ს.	sarjveladze1995	
lex.mdguri	მდგური	მწირი, დამდგომი, მგზავრი მოსასვენებლად	ი. ა.	abuladze1973	დგრომა
lex.mdebare	მდებარე	დადებული	ი. ა.	abuladze1973	დება|თანმდებარე|ქუემდებარე|შორსმდებარე|წინამდებარე
lex.mdebeba_mdeboba	მდებება, მდებობა		ი. ა.	abuladze1973	დება|თავს-მდებება|თავს-მდებობა
lex.mdebeli	მდებელი		ი. ა.	abuladze1973	დება|თავს-მდებელი|შჯულის(ა)-მდებელი|რჩულის-მდებელი
lex.mdebi	მდები		ი. ა.	abuladze1973	დება|თანამდები
lex.mdebloba	მდებლობა		ი. ა.	abuladze1973	შჯულის-მდებლობა
lex.mdedeba	მდედება	ბერება	ი. ა.	abuladze1973	დედა|დამდედება
lex.mdedrebrivi	მდედრებრივი	დედალი, მდედრი			დედა|მდედრი
lex.mdedri	მდედრი	ნეზუ, დედალი	ი. ა.	abuladze1973	დედა|მდედრებრივი
lex.mdedroba	მდედრობა	ქალაჩუნობა	ქ. ც.	kartlis_tskhovreba	
lex.mdevar_qopna	მდევარ-ყოფნა		ი. ა.	abuladze1973	დევნა
lex.mdevari	მდევარი	მდევნელი, გამომდგომი, მიმყოლი	ი. ა.	abuladze1973	დევნა|მერცხლის-მდევარი
lex.mdevneli	მდევნელი	მდევარი	ი. ა.	abuladze1973	დევნა
lex.mdelo	მდელო	ბალახი, მწვანილი, მოლი; თივა-ცენებული; მწუანე. საპონი; განსაწმედელი	ი. ა.	abuladze1973	მდელოვანი
lex.mdelovani	მდელოვანი	მწუანვილოვანი, მწვანით მოსილი	ი. ა.	abuladze1973	მდელო
lex.mdelois_mdzoari	მდელოჲს-მძოარი	ბალახის მჭამელი	ი. ა.	abuladze1973	მძო(ვ)არი
lex.mdidari	მდიდარი	მდიდარი ქალი	ზ. ს.	sarjveladze1995	მდიდრება|მდიდრად|სიმდიდრე|უმდიდრჱსი
lex.mdidrad	მდიდრად	მეტად, ძლიერ, ძალიან, ფართოდ	ი. ი.	imnaishvili	მდიდარი
lex.mdidrad_gamochineba	მდიდრად გამოჩინება	განდიდება	ი. ა.	abuladze1973	
lex.mdidrad_tquma	მდიდრად თქუმა	განდიდება, პატივის დება; კვეხნა	ი. ა.	abuladze1973	
lex.mdidrad_metqueli	მდიდრად მეტყუელი	ენაწყლიანი, მრავალმეტყველი	ი. ა.	abuladze1973	
lex.mdidrad_sitquai	მდიდრად სიტყუაჲ	კადნიერება	ი. ა.	abuladze1973	
lex.mdidreba	მდიდრება	გამდიდრება	ი. ა.	abuladze1973	მდიდარი
lex.mdidroba	მდიდრობა	წყლის ადიდება, წყალდიდობა	ქ. ც.	kartlis_tskhovreba	
lex.mdivani	მდივანი	უსტართა მწერალი (საბა)	ქ. ც.	kartlis_tskhovreba	
lex.mdinare	მდინარე	წყალი, ღუარი, მადინებელი	ი. ა.	abuladze1973	დინება|მდინარება|თესლმდინარე|შუვამდინარე
lex.mdinareba	მდინარება		ი. ა.	abuladze1973	დინება|მდინარე
lex.mdinaris_kide	მდინარის-კიდე	მდინარის ნაპირი	ი. ა.	abuladze1973	კიდე|კიდეჲ
lex.mdogu	მდოგუ	სინაპი, ველის ყრდელი	ი. ა.	abuladze1973	
lex.mdogvi_mdgoui	მდოგჳ, მდგოუი	მდოგვი	ი. ი.	imnaishvili	
lex.mdovri	მდოვრი	წყნარი	ი. ა.	abuladze1973	დამდოვრება
lex.mdranjobeli	მდრანჯობელი		ი. ა.	abuladze1973	ჴდალთ-მდრანჯობელი|ჴდალ-მნდრანჯობელი
lex.mdrtvinavi	მდრტჳნავი	უკმაყოფილო, მომჩივარი	ი. ა.	abuladze1973	დრტჳნვა|ტრტჳნვა
lex.mdrtvinvali	მდრტჳნვალი		ი. ი.	imnaishvili	დრტჳნვა|ტრტჳნვა
lex.mdrtvinveli	მდრტჳნველი	უკმაყოფილო, მომჩივარი	ი. ა.	abuladze1973	დრტჳნვა|ტრტჳნვა
lex.mdumari_mdumare	მდუმარი, მდუმარე	ჩუმი	ი. ა.	abuladze1973	დუმილი|მდუმრიად
lex.mdumriad	მდუმრიად	იდუმალ, ჩუმად	ი. ა.	abuladze1973	მდუმრიადი|მდუმარი|მდუმარე
lex.mdumriadi	მდუმრიადი	ჩუმი	ი. ა.	abuladze1973	მდუმრიად
lex.mdurva	მდურვა	ხმისგაუცემლობა	ი. ა.	abuladze1973	
lex.mdughare	მდუღარე	მხურვალე	ი. ა.	abuladze1973	დუღილი
lex.mdghevr	მდღევრ	დღიურად	ი. ა.	abuladze1973	დღ-ე|დღე-გამოღებით
lex.mdghevrad	მდღევრად	ყოველდღიურად	ი. ა.	abuladze1973	მდღევრი|მდღევარი|დღე-გამოღებით
lex.mdghevri_mdghevari	მდღევრი, მდღევარი	დღიური, ყოველდღიური დღიური შემოსავალი	ი. ა.	abuladze1973	მდღევრად
lex.mdghevrit_msakhuri_mdghevrit_mskhori	მდღევრით-მსახური, მდღევრით-მსხორი		ი. ა.	abuladze1973	მსახური
lex.me	მე	განუსაზღვრელი ნაწილაკი	ი. ა.	abuladze1973	
lex.mertisa_mpqrobeli	მე(ე)რთისა მპყრობელი	ყოვლისა მპყრობელი, მჭერელი	ი. ა.	abuladze1973	მპყრობელი|მერთისა-მპყრობელი
lex.me_a	მე-ა	(კითხვითი ნაწილაკები)	ი. ა.	abuladze1973	
lex.meabjre	მეაბჯრე	ნიჯოგარი	ი. ა.	abuladze1973	აბჯარი
lex.meagarake	მეაგარაკე	გლეხი	ი. ა.	abuladze1973	აგარაკი|აგარაკი|აგარა
lex.meate	მეათე	მეათედი	ი. ა.	abuladze1973	ათ წილ|ოთხდამეათე
lex.meatedi	მეათედი	მეათე	ი. ა.	abuladze1973	ათი|ათ წილ
lex.meatertmete	მეათერთმეტე	მე-11	ი. ა.	abuladze1973	ათერთმეტი
lex.meatequsmete	მეათექუსმეტე		ი. ა.	abuladze1973	ათექუსმეტი
lex.meatotkhmete	მეათოთხმეტე	ოთხდამეათე	ი. ა.	abuladze1973	ათოთხმეტი
lex.meatrvamete	მეათრვამეტე	მე-18	ი. ა.	abuladze1973	ათრვამეტი|ათურამეტი
lex.meatshvidmete	მეათშჳდმეტე	მე-17	ი. ა.	abuladze1973	ათშჳდმეტი
lex.meatkhutmete	მეათხუთმეტე	მე-15	ი. ა.	abuladze1973	ათხუთმეტი|თხუთმეტი
lex.meambore	მეამბორე	ვინც ეამბორება	ქ. ც.	kartlis_tskhovreba	
lex.meambokhe	მეამბოხე		ი. ა.	abuladze1973	ამბოხი|ანბოხი|ამბოხის-აღდგინება
lex.meaqleme	მეაქლემე	აქლემის პატრონი	ი. ა.	abuladze1973	აქლემი
lex.meachrdile	მეაჩრდილე	(ὁ κηνικοՏ) მსახიობი	სხ.	misc	
lex.mebavte	მებავთე		ი. ა.	abuladze1973	ბავთი
lex.mebalakhe	მებალახე	ბალახის დამზადების მუშაკი	ქ. ც.	kartlis_tskhovreba	
lex.mebazhe	მებაჟე		ი. ა.	abuladze1973	ბაჟი
lex.mebarguli	მებარგული	ბარგის მტვირთელნი	ქ. ც.	kartlis_tskhovreba	
lex.mebegre	მებეგრე		ი. ა.	abuladze1973	ბეგარი
lex.mebeche	მებეჭე	მისანი, ცხოველის ბეჭის ძვალზე ბედისა და ამინდის ამომცნობი	სხ.	misc	
lex.mebostne	მებოსტნე	მებაღე	ი. ა.	abuladze1973	ბოსტანი
lex.mebodziri	მებოძირი	განსავალი, გზაჯვარედინი	ი. ა.	abuladze1973	
lex.mebr_mebrad	მებრ, მებრად	ყოვლად, სრულებით; მარტო, მხოლოდ	ი. ა.	abuladze1973	
lex.mebrve	მებრვე	ყოვლადვე, სრულიადაც	ი. ა.	abuladze1973	
lex.mebriad	მებრიად	სრულებით, სრულიად	ი. ი.	imnaishvili	
lex.mebrdzoli	მებრძოლი	მოლალე	ი. ა.	abuladze1973	ბრძოლა|ბრძოლილი
lex.mebudari	მებუდარი	მბუდებელი, მობუდარი	ი. ა.	abuladze1973	ბუდე
lex.mebche	მებჭე	ბჭეთა გამგე	ქ. ც.	kartlis_tskhovreba	
lex.megandze_megandzuri	მეგანძე, მეგანძური	საუნჯის, განძის მოყვარული/პატრონი	ი. ა.	abuladze1973	
lex.megandzurta_ukhutsesi	მეგანძურთა-უხუცესი				უხუცე|უხუცესი|უხუცჱსი
lex.megobar_qmna	მეგობარ-ქმნა	მოყურობა	ი. ა.	abuladze1973	
lex.megobari	მეგობარი	მიყუარი, მოყუარე, საყვარელი, მახლობელი, ამხანაგი	ი. ა.	abuladze1973	დამეგობრება|მეგობრება|მეგობრობა
lex.megobreba_megobroba	მეგობრება, მეგობრობა	სიყუარული	ი. ა.	abuladze1973	მეგობარი
lex.megvipteli_meegvipteli	მეგჳპტელი, მეეგჳპტელი	ეგვიპტელი	ი. ა.	abuladze1973	ეგჳპტელი|მეეგჳპტელი
lex.medad	მედად	უსასყიდლოდ, ამაოდ	ი. ა.	abuladze1973	
lex.medgari	მედგარი	(მედგრისა) ცუდი, ავი, ბოროტი, გამოუსადეგარი; საძაგელი, მშიშარა, ზარმაცი	ი. ა.	abuladze1973	გულმედგარი|დამედგრება|მედგრობა|მომედგრება|სიმედგრე|უმედგრესი
lex.medgroba	მედგრობა	ბოროტი, უძლურება, სისუსტე	ი. ა.	abuladze1973	დამედგრებული|მედგარი
lex.medguri_modguri	მედგური, მოდგური	(ὁ καταλύτηՏ) მდგმური, უცხოდ მოსული, სხვა სხვისა სახლსა მდეგი (საბა)	სხ.	misc	მოდგური
lex.medilegei	მედილეგეჲ	ციხის უფროსი	ზ. ს.	sarjveladze1995	
lex.medimosei	მედიმოსეჲ	გადასახადის ამკრეფი	ზ. ს.	sarjveladze1995	
lex.medini	მედინი	წარმავალი	ქ. ც.	kartlis_tskhovreba	
lex.medrekani	მედრეკანი	რაც იდრიკება, იღუნება, იხრება	სხ.	misc	
lex.medghesastsaule	მედღესასწაულე	ზატიკობა	ი. ა.	abuladze1973	დღესასწაული|სასწაული|სასწავული
lex.meebne	მეებნე	ებანის დამკვრელი	ქ. ც.	kartlis_tskhovreba	
lex.meegvipteli	მეეგჳპტელი		ი. ა.	abuladze1973	მეგჳპტელი|მეეგჳპტელი
lex.meeklesie	მეეკლესიე	ეკლესიის მსახური	ქ. ც.	kartlis_tskhovreba	
lex.meergasisi	მეერგასისი	50-ე	ი. ა.	abuladze1973	ერგასისი
lex.meerte	მეერთე		ი. ა.	abuladze1973	ერთი|ერთვე|ოცდამეერთე
lex.meetle	მეეტლე	ეტლის მძღოლი	ი. ა.	abuladze1973	ეტლი
lex.meequse	მეექუსე	მე-6	ი. ა.	abuladze1973	ექუსი
lex.mevaneoba	მევანეობა	დაძინება	ი. ა.	abuladze1973	ვანი
lex.mevazhine	მევაჟინე	მწდე, მერიქიფე	ი. ა.	abuladze1973	ვაჟინი
lex.mevenakhe	მევენაჴე	ვენახის მოქმედი	ი. ა.	abuladze1973	ვენაჴი
lex.mevepe	მევეპე	ზღაპრის მთქმელი; ზღაპარ-სიტყუადი	ი. ა.	abuladze1973	ვეპი
lex.mezedashei	მეზედაშეჲ	შესაწირავი ღვინის (ზედაშის) მნე, განმგებელი	სხ.	misc	
lex.mezobeli	მეზობელი	მოძმე	ი. ა.	abuladze1973	
lex.mezuare	მეზუარე	ყურძნის დამკრეფი; ვენაჴის მცველი (საბა)	ი. ა.	abuladze1973	ზუარი
lex.mezuebi	მეზუები	ცხენი, რემა	ი. ა.	abuladze1973	ზუება
lex.mezuere	მეზუერე	მებაჟე, ხარკის ამკრეფი.	ი. ა.	abuladze1973	ზუერი
lex.mezueret_modzghuari	მეზუერეთ მოძღუარი	მებაჟეების უფროსი, ხარკის ამკრებთა უფროსი	ი. ი.	imnaishvili	
lex.mezghapre	მეზღაპრე		ი. ა.	abuladze1973	ზღაპრად|მუცლით-მეზღაპრე
lex.mezghvispire	მეზღჳსპირე	ზღჳს-კიდისა	ი. ა.	abuladze1973	ზღჳს-პირი|ზღუად კერძო|ზღჳთ კერძო
lex.metevze_metevzuri	მეთევზე, მეთევზური	თევზის მჭერელი, მონადირე	ი. ა.	abuladze1973	თევზი
lex.meigave	მეიგავე	იგავის მთქმელი	ი. ა.	abuladze1973	იგავი|იგავის მოღება/მოხუმა
lex.meinakhe	მეინაჴე	ინაჴით მჯდომარე, წვეული; სუფრას მსხდომი	ი. ა.	abuladze1973	თანა-მეინაჴე|ინაჴი
lex.meinakhe_meinakhetagani	მეინაჴე, მეინაჴეთაგანი	თანამესუფრე	ი. ი.	imnaishvili	
lex.meisari	მეისარი	მშვილდ-ისრის მსროლელი; მოისარი	ი. ა.	abuladze1973	ისარი
lex.mekabarche	მეკაბარჭე		ი. ა.	abuladze1973	მემშჳლდკაბარჭე
lex.mekaloe	მეკალოე	მლეწველი	ი. ა.	abuladze1973	კალო
lex.mekapilione	მეკაპილიონე	მედუქნე	სხ.	misc	
lex.mekare_mekre	მეკარე, მეკრე	კარის მცველი	ი. ა.	abuladze1973	კარი|მეკრე
lex.mekahraule	მეკაჰრაულე		ი. ა.	abuladze1973	კარაული|კაჰრაული
lex.meketebeli	მეკეთებელი	რაც ადამიანს უხდება	სხ.	misc	
lex.mekerme	მეკერმე	თესლის-მოფარდული, კერ მის-მცვალებელი	ი. ა.	abuladze1973	კერმა
lex.mekerpe	მეკერპე	კერპთმსახური	ი. ა.	abuladze1973	კერპი
lex.meketse	მეკეცე	თიხის ჭურჭლის ოსტატი	ი. ი.	imnaishvili	
lex.mekimilie	მეკიმილიე	კიმილიარხი, საგანძურის მცველი	ი. ა.	abuladze1973	კიმილია
lex.mekitskhari	მეკიცხარი		ი. ა.	abuladze1973	კიცხევა|კიცხვა
lex.mekitskheveli	მეკიცხეველი	დამცინავი	ი. ა.	abuladze1973	კიცხევა|კიცხვა
lex.mekobre	მეკობრე	მტაცებელი	ი. ა.	abuladze1973	მეკობრობა
lex.mekobroba	მეკობრობა	მტაცებლობა	ი. ა.	abuladze1973	მეკობრე
lex.mekre	მეკრე		ი. ა.	abuladze1973	მეკარე|მეკრე
lex.mekristone	მეკრისტონე	ფულის მიმბარებელი	ი. ა.	abuladze1973	
lex.mekuale	მეკუალე	კვალს მიმყოლი	ი. ა.	abuladze1973	კუალი
lex.mekuertskhe	მეკუერცხე	ქვირითის მყრელი	ი. ა.	abuladze1973	კუერცხი
lex.mekutkheoba	მეკუთხეობა	განცალკევება	სხ.	misc	
lex.mekupkhle	მეკუფხლე	შემკრები ნამკვრევისა, მემცვრევე	ი. ა.	abuladze1973	კუფხალი
lex.melani	მელანი	(მელნისა) შავი საწერელი	ი. ა.	abuladze1973	ოქრომელანი
lex.melaghria	მელაღრია	მწუანვილი, თაფლი ველისაჲ	ი. ა.	abuladze1973	
lex.melevandi	მელევანდი	მძივი დაცუმული, ასხმული ყელსაკიდი სამკაულად, მანიაკი	ი. ა.	abuladze1973	
lex.meletiani	მელეტიანი	მელეტიოს ანტიოქიელის მიმდევარი	ი. ა.	abuladze1973	
lex.meli	მელი	მელა	ი. ი.	imnaishvili	
lex.melizghei	მელიზღეჲ	ლაზღანდარა	ზ. ს.	sarjveladze1995	
lex.meliqi	მელიქი	მეფე, მპყრობელი	ქ. ც.	kartlis_tskhovreba	
lex.meloti	მელოტი	ცხვრის ან თხის ტყავის წამოსასხამი, ხალენი	სხ.	misc	
lex.melsapeponi	მელსაპეპონი	აჭური, საზამთრო	ი. ა.	abuladze1973	
lex.mematrakhe	მემათრაჴე	მეომრის მწვრთნელი (საბა)	ქ. ც.	kartlis_tskhovreba	
lex.memandari	მემანდარი	მესტუმრეთუხუცესი	ქ. ც.	kartlis_tskhovreba	
lex.memane	მემანე	მძივების მკეთებელი	ი. ა.	abuladze1973	მანა
lex.memarage	მემარაგე	მესტროლაბე, წინასწარ მცნობელი	ი. ა.	abuladze1973	მარაგება
lex.memashioba	მემაშიობა	მეფეხსაცმელეობა	ქ. ც.	kartlis_tskhovreba	
lex.memakhviri	მემახჳრი	მფრინველთ მონადირე; მახის მომდგმელი (საბა)	ი. ა.	abuladze1973	
lex.memgosne	მემგოსნე	სალამურისა და მისთანათა დამკვრელი	ი. ა.	abuladze1973	მგოსანი
lex.memisne	მემისნე	მისანი, მარჩიელი, მკითხავი	სხ.	misc	
lex.memonastre	მემონასტრე	მონასტრის მსახური	ქ. ც.	kartlis_tskhovreba	
lex.memrotsle	მემროწლე	მწყემსი	ქ. ც.	kartlis_tskhovreba	
lex.memrushe	მემრუშე	მომრუშე	ი. ა.	abuladze1973	მრუში|მომრუშე
lex.memtere	მემტერე	მტერი	ი. ა.	abuladze1973	მტერი
lex.memtile	მემტილე	მებაღე	ი. ა.	abuladze1973	მტილი
lex.memutsleoba	მემუცლეობა	ნაყროვნობა, ღორმუცლობა	ი. ა.	abuladze1973	მუცელი
lex.memprinvele	მემფრინველე	(ὁ ιἱωνιστηՏ) მისანი, ფრინველთა ხმით და მათი ფრენის მიმართულებით მკითხავი	სხ.	misc	
lex.memgheri	მემღერი	მოლხინე, მოცეკვავე, მოთამაშე, მომღერალი	ი. ა.	abuladze1973	მღერა|მღერა ტაბლით|პარით-მემღერი
lex.memshvildkabarche	მემშჳლდკაბარჭე	მშვილდ-ისრის მტარებელი, კაპარჭოსანი	ი. ა.	abuladze1973	კაპარჭი|კაბარჭი|მეკაბარჭე
lex.memtsqobre	მემწყობრე	მძნობარი, მეშუშპრე	ი. ა.	abuladze1973	მწყობრი|წყობა
lex.memkhre	მემჴრე	მეზობელი	ქ. ც.	kartlis_tskhovreba	
lex.memkhreni	მემჴრენი	ეკლესიაში ორივე მხარეს მგალობელნი	ი. ი.	imnaishvili	
lex.mena	მენა	მენაკი, სხვენი, ჭერი	ი. ა.	abuladze1973	
lex.menadire	მენადირე		ი. ა.	abuladze1973	მონადირე|მენადირე
lex.menave	მენავე	ნავის მმართველი/პატრონი	ი. ა.	abuladze1973	ნავი
lex.menavet_moghuatse	მენავეთ-მოღუაწე	ნავის წამყვანი, ნავის უფროსი; კაპიტანი	ი. ი.	imnaishvili	მოღუაწე|მოღუაწი|მოღუაწე
lex.menavet_modzghuari	მენავეთ-მოძღუარი	მენავეთა თავი	ი. ა.	abuladze1973	მოძღუარი
lex.menaki	მენაკი	მენა, სხვენი, ჭერი. ხარისხი, საფეხური	ი. ა.	abuladze1973	
lex.menara	მენარა	მინარეთი	ქ. ც.	kartlis_tskhovreba	
lex.menarde	მენარდე	კამათლით მოთამაშე	სხ.	misc	
lex.menatsile	მენაწილე	კრებულის წევრი, კლირიკოსი	სხ.	misc	
lex.menelsatskheblet_mgbolveli	მენელსაცხებლეთ-მგბოლველი	სურნელოვანი ზეთის მხარშველი	ი. ა.	abuladze1973	მგბოლველი
lex.menergei	მენერგეჲ	ბაღის მომვლელი	ზ. ს.	sarjveladze1995	
lex.menestue	მენესტუე	ჩასაბერავი ინსტრუმენტის დამკვრელი	ი. ა.	abuladze1973	ნესტუ|ნესტჳ რქისაჲ
lex.menidos	მენიდოს	ზღვის წვრილი თევზი, მაენა	ი. ა.	abuladze1973	
lex.menijoge_menijogre_menijgore	მენიჯოგე, მენიჯოგრე, მენიჯგორე	მონა, კაპარჭის მტარებელი, მეკაპარჭე	ი. ა.	abuladze1973	
lex.menoage	მენო(ვ)აგე	მემუსიკე	ი. ა.	abuladze1973	ნო(ვ)აგი
lex.menovageoba	მენოვაგეობა	სანოვაგისათვის მზრუნველობა	სხ.	misc	
lex.menuzle	მენუზლე	ნუზლი არის საგზალი (ნ. ჩუბ.)	ქ. ც.	kartlis_tskhovreba	
lex.meotkhe	მეოთხე	მე-4	ი. ა.	abuladze1973	მეოთხედი|ოთხთა საბრძანებელთა მთავარი
lex.meotkhed	მეოთხედ	მეოთხეჯერ	ი. ა.	abuladze1973	ოთხი|ოთხთა საბრძანებელთა მთავარი
lex.meotkhed_mtavroba	მეოთხედ-მთავრობა	ტეტრარქოსობა	ი. ა.	abuladze1973	მთავრობა
lex.meotkhedi	მეოთხედი	ნაოთხალი. 1/4	ი. ა.	abuladze1973	მეოთხე
lex.meomei	მეომეჲ	(ὁ μαχητηՏ) მებრძოლი	სხ.	misc	
lex.meore	მეორე	ერთი იგი, მე-2; მოადგილე	ი. ა.	abuladze1973	ერთი-მეორე|მეორედ
lex.meore_2	მეორე (შემდგომად მეფისა)	ლერკოლოტი, შემდგომი	ი. ა.	abuladze1973	
lex.meored	მეორედ	კუალად, ზეგარდამო, მეორეჯერ, კვლავ, ისევ	ი. ა.	abuladze1973	მეორე
lex.meoredi	მეორედი	მეორე, მეორეული	ი. ი.	imnaishvili	
lex.meoreve	მეორევე	მე-2	ი. ა.	abuladze1973	
lex.meoretsa	მეორეცა	მერმეცა, მეორეც	ი. ა.	abuladze1973	ორი
lex.meornate	მეორნატე	მხვნელი	სხ.	misc	
lex.meordzi	მეორძი	მოზარდი	ი. ა.	abuladze1973	ორძ-
lex.meortsile	მეორწილე	გამაორკეცებელი	სხ.	misc	
lex.meot_qmnuli	მეოტ-ქმნული	განდევნილი	ი. ი.	imnaishvili	
lex.meoti	მეოტი	განლტოლვილი, გაქცეული	ი. ა.	abuladze1973	ოტებული
lex.meotoba	მეოტობა	გაქცევა	ი. ა.	abuladze1973	ოტებული
lex.meoqrosopio_meoqrosopie	მეოქროსოფიო, მეოქროსოფიე	(ψηφοθέτηՏ) იუველირი	სხ.	misc	
lex.meotse	მეოცე	მე-20	ი. ა.	abuladze1973	ოცი
lex.meokheba	მეოხება	შუამდგომლობა, შემწეობა	ი. ა.	abuladze1973	მეოხი|ოხა
lex.meokhi	მეოხი	შუამდგომელი, შემწე	ი. ა.	abuladze1973	მეოხება|ოხა
lex.meokhne	მეოხნე	თანა-მეინაჴე, წვეული; პურის-მტე	ი. ა.	abuladze1973	ოხნ-
lex.mepanduqianei	მეპანდუქიანეჲ	სასტუმროს პატრონი	ზ. ს.	sarjveladze1995	
lex.mepratake	მეპრატაკე	დაბაღი, მეტყავე	ი. ა.	abuladze1973	პრატაკი
lex.mepure	მეპურე	პურის მცხობელი	ი. ა.	abuladze1973	პურისა უფალი|პური
lex.mepuret_modzghuari	მეპურეთ-მოძღუარი	პურის გამრიგე, მნე	ი. ა.	abuladze1973	მოძღუარი
lex.mepuris_te	მეპურის-(მ)ტე	პურის მოზიარე, ერთად პურის მჭამელი (საბა)	ი. ა.	abuladze1973	-მტე|-ტე
lex.mezhame	მეჟამე	მგალობელი	ი. ა.	abuladze1973	ჟამი
lex.meret_mermet	მერეთ, მერმეთ	მერე	ქ. ც.	kartlis_tskhovreba	
lex.meremake	მერემაკე		ი. ა.	abuladze1973	რემაკი
lex.merve	მერვე	მე-8	ი. ა.	abuladze1973	რვა წლისა|რვა
lex.mervidani	მერვიდანი	კიბე	სხ.	misc	
lex.mertisa_mpqrobeli_2	მერთისა-მპყრობელი		ი. ა.	abuladze1973	მე(ე)რთისა მპყრობელი
lex.merme	მერმე	კუალად, უკუანაჲსკნელ, კვლავ, ისევ. მეორე, ერთი სხუაჲ, სხუა. მომავალი; შემდეგი	ი. ა.	abuladze1973	
lex.mermegha	მერმეღა	უკუანაჲსკნელ, შემდეგ	ი. ა.	abuladze1973	
lex.mermetsa	მერმეცა	კვლავ, ისევ, მეორედ; შემდეგშიც; მეორეცა	ი. ა.	abuladze1973	
lex.merseni	მერსენი	მურტი, მვირსინი, მთის ხილი	ქ. ც.	kartlis_tskhovreba	
lex.meruve	მერუვე	არხის გამომყვანი	ი. ი.	imnaishvili	
lex.mertskhali	მერცხალი	ჰირუნდო	ი. ა.	abuladze1973	
lex.mertskhlis_gamskhmeli	მერცხლის-გამსხმელი	(соловей) აიდონი	ი. ა.	abuladze1973	გამსხმელი|სხმა
lex.mertskhlis_mdevari	მერცხლის-მდევარი	(щурка; merops apiaster) ჩიტია, მეროპს აპიასტერ	ი. ა.	abuladze1973	დევნა|მდევარი
lex.mertsquli_mertsqule	მერწყული, მერწყულე	წყლის მომტანი	ი. ა.	abuladze1973	წყალი|წყალი რღუნისაჲ
lex.mesazghvreni	მესაზღვრენი	მეზობლად რომ ცხოვრობენ	ქ. ც.	kartlis_tskhovreba	
lex.mesatkhevle	მესათხევლე	მთხევარი, მონადირე, მეთევზე, მებადური	ი. ა.	abuladze1973	თხევლა|სათხეველი
lex.mesalmune	მესალმუნე		ი. ა.	abuladze1973	მეფსალმუნე|მესალმუნე
lex.mesame	მესამე	მე-3; ძუღუან, გუშინწინ	ი. ა.	abuladze1973	სამი
lex.mesamedi	მესამედი	1/3	ი. ა.	abuladze1973	სამ ნაწილად განყოფა
lex.mesamotkhe	მესამოთხე	სამოთხის მომვლელი, მებაღე	ქ. ც.	kartlis_tskhovreba	
lex.mesamosle	მესამოსლე		ი. ა.	abuladze1973	მოსა
lex.mesamchedure	მესამჭედურე	მეანკესე, შთამგდებელი სამჭედურისა.	ი. ა.	abuladze1973	სამჭედური|სამჭადური|ჭედა
lex.mesapqrobile	მესაპყრობილე	საპყრობილის უფროსი	ი. ა.	abuladze1973	საპყრობილე
lex.mesapqrobilet_mtavari	მესაპყრობილეთ-მთავარი	საპყრობილის უფროსი	ი. ა.	abuladze1973	მთავარი
